m0,c_I,Q,eta_abs,kappa,W_factor,cutoff_mode,ngrid,n_local_zeros,E_I_zeta,B_eff_zeta,E_I_proxy,B_eff_proxy,D_completed,ratio_E_zeta_proxy,group
171.662,0.5,3.3076503607507575,0.15116470771309454,0.5,40.0,hard,201,12,0.05291466431550187,2.4569312982037608,0.05281861229157164,2.458450121754385,9.802603342544701e-07,1.0018185260794055,A_watch
171.662,1.0,3.3076503607507575,0.15116470771309454,0.5,40.0,hard,201,12,0.06077320088571287,2.341178079063965,0.06069281565871519,2.342284534407351,3.1777143128551318e-06,1.0013244603356302,A_watch
199.64,0.1,3.458638678192063,0.14456554920081024,0.5,40.0,hard,201,12,0.07668666336842242,2.0695294284430332,0.07656170458123579,2.070843663286646,2.7973056072899543e-05,1.0016321317278671,A_watch
199.64,0.2,3.458638678192063,0.14456554920081024,0.5,40.0,hard,201,12,0.0771282955099646,2.064901728085336,0.0769946589832244,2.0662992540983542,1.1813788267894278e-06,1.0017356597003608,A_watch
199.64,0.5,3.458638678192063,0.14456554920081024,0.5,40.0,hard,201,12,0.08026515146292018,2.0327749348416497,0.08013461914139766,2.034086579976538,8.337224713891814e-07,1.0016289129831915,A_watch
199.64,1.0,3.458638678192063,0.14456554920081024,0.5,40.0,hard,201,12,0.09319160859791702,1.9124387803356424,0.0930891919271317,1.9133249248230182,3.4881383113282793e-06,1.001100199375084,A_watch
1006.6523547206804,0.1,5.076508538025508,0.09849289058705561,0.5,40.0,hard,201,13,0.40999909093343795,0.5488042063282667,0.4055448641255449,0.5555278776612005,0.006970613193204825,1.0109833145526266,B_top50_Beff
1006.6523547206804,0.2,5.076508538025508,0.09849289058705561,0.5,40.0,hard,201,13,0.4085808239371546,0.5509371262484992,0.40788156818418286,0.5519914577255114,0.00011497412047271496,1.0017143597738056,B_top50_Beff
1006.6523547206804,0.5,5.076508538025508,0.09849289058705561,0.5,40.0,hard,201,13,0.42558642844530287,0.525836976238832,0.4248125194994527,0.5269573023957032,1.5222906351721002e-06,1.0018217658621786,B_top50_Beff
1006.6523547206804,1.0,5.076508538025508,0.09849289058705561,0.5,40.0,hard,201,13,0.49500700095486583,0.4328284515026557,0.4943976492088529,0.433586629838758,4.199464785292859e-06,1.0012325134372868,B_top50_Beff
1006.667806955117,0.1,5.0765238880276895,0.09849259277183427,0.5,40.0,hard,201,13,0.3919901818927297,0.5764514733995088,0.38970276716428204,0.5800538271081905,0.007730816746224606,1.0058696394308213,B_top50_Beff
1006.667806955117,0.2,5.0765238880276895,0.09849259277183427,0.5,40.0,hard,201,13,0.39240146882083593,0.5758059850929704,0.39183627414336064,0.5766931958398888,0.00011749068149321936,1.0014424256118475,B_top50_Beff
1006.667806955117,0.5,5.0765238880276895,0.09849259277183427,0.5,40.0,hard,201,13,0.4080262257457302,0.5517721692090106,0.4072756518570117,0.5529054865320989,1.5864061577226753e-06,1.00184291372513,B_top50_Beff
1006.667806955117,1.0,5.0765238880276895,0.09849259277183427,0.5,40.0,hard,201,13,0.471021086833436,0.46340023273954356,0.4704059282468063,0.4642046416833563,3.8347726627184595e-06,1.001307718610015,B_top50_Beff
1006.7750623057208,0.1,5.0766304272817635,0.0984905257851753,0.5,40.0,hard,201,12,0.3459115998006387,0.6534167391938254,0.3431674434988649,0.6583191859207324,0.005961573853683198,1.007996551985803,B_top50_Beff
