N,smoothing,level,R,rank,t0,source_objective,J_max,E_cI_0.1,S_cI_0.1,Beff_cI_0.1,E_cI_0.2,S_cI_0.2,Beff_cI_0.2,E_cI_0.5,S_cI_0.5,Beff_cI_0.5,E_cI_1.0,S_cI_1.0,Beff_cI_1.0
350,cos,3,8,2,3721.5953364091165,0.0025596589867942316,0.032320485135812274,0.00019253555301132757,0.02742108333220734,4.0607653970768,0.0006919181515147653,0.04980102631507517,3.453595533558507,0.003821686322777605,0.11048248115308959,2.6424233561571135,0.010663253247506999,0.16313094624144056,2.155376326799064
350,cos,3,8,3,2512.053465015319,0.0045371083142425874,0.0490331723158273,0.002377671978174148,0.05333299286754923,2.9359439049505514,0.002300790757399352,0.05528272482447116,2.9519166504301153,0.001876328698421487,0.055398747465096376,3.051019673771843,0.0016607030423854408,0.07923681548986143,3.110342758740165
350,sharp,1,8,1,3502.204207694205,0.002240446557542958,0.021478324275166678,0.00039239892711801026,0.020669895767946696,3.7359665917683866,0.00039061936139638426,0.021396319213181268,3.738131706006203,0.0003793405516673849,0.023028623600669335,3.752087808953066,0.0003548696202605922,0.025155721336143723,3.7838513517495658
350,sharp,1,8,2,3257.951819525934,0.006472528770323794,0.04800374382595245,0.00016908277760204697,0.013839370833989867,4.154592631107975,0.0001758515955390052,0.01522711280392851,4.13581613182522,0.00022806215262079958,0.02202029313299671,4.011453841702122,0.00047479811886350895,0.040482944867286305,3.6606879737307563
350,sharp,1,8,3,2202.085024522401,0.006927587319146033,0.047020721956008114,0.0008333031589125839,0.029667195315108946,3.474095651834178,0.0008291028348563315,0.030254481691260167,3.4765717350334207,0.0008009992648172374,0.03083722035150207,3.493468685360897,0.0007170012543815514,0.030837179414821787,3.547751147104002
350,sharp,2,8,1,3410.853074952189,0.00453413466014236,0.03488630441449643,0.0009661241815978529,0.03231108147867843,3.3119041372444498,0.0010026980850831747,0.034880333928781045,3.2941775855738227,0.001286625396287489,0.0494201799574479,3.1752312158238825,0.0026385616776689784,0.09394067193971459,2.832596289375977
350,sharp,2,8,2,2027.709529216944,0.011562170373600834,0.06402465563805931,0.0021831340585930295,0.04994605039325508,3.0181111215507213,0.002214418386115572,0.053672023479408325,3.0111023661449203,0.0024293557286318083,0.06640798476798052,2.965470420294653,0.003147805573650286,0.08798731567076577,2.837849815996225
350,sharp,2,8,3,2381.635856998088,0.016595272216466665,0.09525771918565892,0.0006251126997855638,0.034350381801140924,3.5970934944165998,0.0007301456540415197,0.04466368395982963,3.5213678223028766,0.0014599591313526708,0.07681537126247259,3.1835202692059883,0.003982586633856311,0.1315913202941213,2.6942315050884296
350,sharp,3,8,1,3410.8531575710317,0.004504877436422972,0.03490581581240894,0.0009369200194568934,0.03184447608217824,3.3265474495787397,0.0009729762530671618,0.034420732255652925,3.3085325570945514,0.0012533467088925879,0.04898097808535996,3.1877329837029116,0.0025934835831337407,0.09352771698735565,2.840817089436801
350,sharp,3,8,2,2027.7098027824036,0.011528991653969657,0.06402728488646996,0.0021562678128595283,0.04966700813775918,3.024210682307745,0.0021874119680907805,0.05340093934636367,3.017146791560886,0.0024013257367361176,0.06615065433466029,2.9711869867455065,0.003115665701598233,0.08772011858700345,2.842905134403884
350,sharp,3,8,3,2381.6369710392205,0.016552433027956587,0.09505077576010333,0.000624786299394592,0.034363371524566845,3.597348038875277,0.0007302396251779138,0.04469718076102062,3.521304971737388,0.0014627608128085388,0.07689160771955274,3.1825854170577195,0.003991953976296209,0.13164436537656102,2.693085969074487
